X,Y,OBJECTID_1,NAZIV,ADRESA
450837.5316,5074895.6364,89,PLINSKI CENTAR ZAGREB,SAMOBORSKA CESTA 222
447748.52,5071211.84,90,CRODIESEL,KERESTINEČKA 129A
452717.4017,5073112.5447,91,ZAGREBAČKI PROMETNI ZAVOD,LJUBLJANSKA AVENIJA 1
453212.2603,5073241.5292,92,AGS HRVATSKA,ZAGREBAČKA AVENIJA 100B
453588.4335,5073190.6627,93,ZAGREBAČKI PROMETNI ZAVOD,ZAGREBAČKA AVENIJA 96
462167.0636,5073827.0071,94,KONZUM PLUS,ULICA GRADA VUKOVARA 275
466951.5303,5073679.4632,95,AUTO PLIN,ČULINEČKA CESTA 248
466959.3984,5073909.7369,96,PLINKA-PUH,I. RESNIK 6
466329.6715,5074578.5159,97,AUTO PLIN,I. RESNIČKI GAJ 18
467542.267,5076439.4376,98,APIOS,ZAGREBAČKA CESTA 162
468931.6759,5076595.0005,99,AGS HRVATSKA,ZAGREBAČKA CESTA 34
470360.8155,5076117.5515,100,KONZUM PLUS,BJELOVARSKA ULICA 48B
473825.0732,5075679.8259,101,AGS HRVATSKA,KOBILJAČKA CESTA 102
472974.9208,5080268.1563,102,GALIĆ-BENZ,SOBLINEČKA ULICA 46
470789.8677,5086259.1789,103,VUGIP,CESTA IVANA MAŽURANIĆA 110
463025.5335,5080111.6325,104,ŠIMA,ŠTEFANOVEC 40
461143.5212,5067092.5875,105,NOVAK-BENZ,AVENIJA VEĆESLAVA HOLJEVCA 53 (BANI ODVOJAK 1)
455824.6579,5066887.1849,106,EURO BENZ,ULICA DR. LUJE NALETILIĆA 94A
456595.9573,5064145.4351,107,MARP-PROMET,OBREŠKA CESTA 119
